NumCidades,NumAbelhas,NumFormigas,CustoABC,TempoABC,CustoACO,TempoACO
10,10,10,3.438885,1.5862,3.438885,5.0340
10,10,20,3.438885,1.4307,3.438885,7.5781
10,10,30,3.438885,0.8758,3.438885,10.0014
10,10,40,3.438885,0.7647,3.438885,12.8611
10,10,50,3.438885,0.7649,3.438885,16.1455
10,10,60,3.438885,0.7604,3.438885,25.4775
10,10,70,3.438885,1.2683,3.438885,36.7691
10,10,80,3.438885,1.9088,3.438885,42.1630
10,10,90,3.438885,1.2139,3.438885,31.4490
10,20,10,3.438885,1.5106,3.438885,3.1432
10,20,20,3.438885,1.4803,3.438885,6.3770
10,20,30,3.438885,1.4843,3.438885,9.2323
10,20,40,3.438885,3.4751,3.438885,14.1690
10,20,50,3.438885,1.4981,3.438885,19.0981
10,20,60,3.438885,2.1807,3.438885,27.9153
10,20,70,3.438885,2.2596,3.438885,31.5504
10,20,80,3.438885,2.3682,3.438885,25.4188
10,20,90,3.438885,1.4959,3.438885,26.5811
10,30,10,3.438885,2.2081,3.438885,3.0184
10,30,20,3.438885,2.2079,3.438885,5.8785
10,30,30,3.438885,2.2126,3.438885,8.6655
10,30,40,3.438885,2.1984,3.438885,11.7774
10,30,50,3.438885,2.2492,3.438885,14.8378
10,30,60,3.438885,2.1775,3.438885,17.3041
10,30,70,3.438885,2.2128,3.438885,20.3690
10,30,80,3.438885,2.2897,3.438885,23.6195
10,30,90,3.438885,2.2426,3.438885,27.5374
10,40,10,3.438885,3.0123,3.438885,2.9569
10,40,20,3.438885,2.9968,3.438885,5.9076
10,40,30,3.438885,2.9343,3.438885,8.9185
10,40,40,3.438885,4.3400,3.438885,16.1350
10,40,50,3.438885,3.5087,3.438885,15.7234
10,40,60,3.438885,2.9376,3.438885,17.3823
10,40,70,3.438885,2.9518,3.438885,20.6134
10,40,80,3.438885,2.9769,3.438885,23.4625
10,40,90,3.438885,2.9390,3.438885,26.4340
10,50,10,3.438885,3.6265,3.438885,2.8938
10,50,20,3.438885,3.7068,3.438885,5.9238
10,50,30,3.438885,3.7122,3.438885,8.7970
10,50,40,3.438885,3.7047,3.438885,11.5872
10,50,50,3.438885,3.6786,3.438885,14.6977
10,50,60,3.438885,4.3671,3.438885,17.7815
10,50,70,3.438885,3.6514,3.438885,19.9106
10,50,80,3.438885,3.6337,3.438885,23.0413
10,50,90,3.438885,3.6697,3.438885,26.6061
10,60,10,3.438885,4.4111,3.438885,2.9151
10,60,20,3.438885,4.3707,3.438885,5.7788
10,60,30,3.438885,4.4198,3.438885,11.5232
10,60,40,3.438885,8.0531,3.438885,17.7740
10,60,50,3.438885,6.7348,3.438885,23.0796
10,60,60,3.438885,6.6579,3.438885,28.1045
10,60,70,3.438885,9.2982,3.438885,31.8446
10,60,80,3.438885,6.6563,3.438885,36.0529
10,60,90,3.438885,6.8512,3.438885,44.7963
10,70,10,3.438885,6.6322,3.438885,3.0789
10,70,20,3.438885,5.1366,3.438885,5.9602
10,70,30,3.438885,5.1257,3.438885,8.8980
10,70,40,3.438885,5.1306,3.438885,11.8547
10,70,50,3.438885,5.0473,3.438885,14.3889
10,70,60,3.438885,5.1110,3.438885,17.5149
10,70,70,3.438885,5.1603,3.438885,20.6593
10,70,80,3.438885,5.1790,3.438885,23.4696
10,70,90,3.438885,5.1566,3.438885,26.5894
10,80,10,3.438885,5.8883,3.438885,2.9318
10,80,20,3.438885,5.8659,3.438885,6.0541
10,80,30,3.438885,5.8106,3.438885,8.7686
10,80,40,3.438885,5.8064,3.438885,11.5593
10,80,50,3.438885,5.8872,3.438885,14.6665
10,80,60,3.438885,5.8212,3.438885,17.3007
10,80,70,3.438885,5.7428,3.438885,20.4858
10,80,80,3.438885,5.8632,3.438885,23.0147
10,80,90,3.438885,5.9059,3.438885,26.9729
10,90,10,3.438885,6.5880,3.438885,2.9766
10,90,20,3.438885,6.5592,3.438885,5.7292
10,90,30,3.438885,6.5979,3.438885,8.8057
10,90,40,3.438885,6.5454,3.438885,11.6105
10,90,50,3.438885,6.4271,3.438885,14.4713
10,90,60,3.438885,6.5452,3.438885,17.3638
10,90,70,3.438885,6.5367,3.438885,20.1385
10,90,80,3.438885,6.4177,3.438885,22.9454
10,90,90,3.438885,6.6999,3.438885,26.8794
15,10,10,3.815762,0.7822,3.819198,4.7559
15,10,20,3.815762,0.7838,3.819198,9.3376
15,10,30,3.815762,0.7865,3.819198,13.9312
15,10,40,3.815762,0.7933,3.819198,18.9107
15,10,50,3.815762,0.7720,3.815762,23.5748
15,10,60,3.815762,0.7864,3.815762,27.9926
15,10,70,3.815762,0.7718,3.815762,31.7353
15,10,80,3.815762,0.7828,3.815762,37.3381
15,10,90,3.815762,0.7757,3.815762,41.5079
15,20,10,3.815762,1.5289,3.819198,4.6600
15,20,20,3.815762,1.5583,3.819198,9.6443
15,20,30,3.815762,1.5461,3.815762,14.4180
15,20,40,3.815762,1.5255,3.815762,18.5302
15,20,50,3.815762,1.5749,3.815762,23.5622
15,20,60,3.815762,1.5233,3.815762,28.1274
15,20,70,3.815762,1.5401,3.815762,32.9568
15,20,80,3.815762,1.5424,3.815762,37.4432
15,20,90,3.815762,1.5377,3.815762,42.6610
15,30,10,3.815762,2.6456,3.819198,4.9205
15,30,20,3.815762,2.3409,3.819198,9.5205
15,30,30,3.815762,2.2701,3.819198,13.8580
15,30,40,3.815762,2.3212,3.815762,19.2869
15,30,50,3.815762,2.3184,3.819198,23.5839
15,30,60,3.815762,2.3074,3.815762,28.3686
15,30,70,3.815762,2.3381,3.815762,33.1462
15,30,80,3.815762,2.3013,3.815762,37.4817
15,30,90,3.815762,2.3242,3.815762,41.6642
15,40,10,3.815762,3.0368,3.815762,4.6617
15,40,20,3.815762,3.0494,3.815762,9.3610
15,40,30,3.815762,3.0394,3.815762,13.8012
15,40,40,3.815762,3.0143,3.815762,18.9435
15,40,50,3.815762,3.1231,3.815762,23.8384
15,40,60,3.815762,3.0357,3.815762,28.3852
15,40,70,3.815762,3.0646,3.815762,32.5328
15,40,80,3.815762,3.0385,3.815762,37.3527
15,40,90,3.815762,3.1056,3.815762,42.5081
15,50,10,3.815762,3.7309,3.819198,4.6388
15,50,20,3.815762,3.9077,3.819198,9.4334
15,50,30,3.815762,3.8472,3.815762,14.1175
15,50,40,3.815762,3.7846,3.815762,18.3890
15,50,50,3.815762,3.8713,3.819198,23.6936
15,50,60,3.815762,3.9263,3.815762,29.2999
15,50,70,3.815762,3.7921,3.815762,32.8302
15,50,80,3.815762,3.8549,3.815762,37.3160
15,50,90,3.815762,3.8571,3.815762,41.9047
15,60,10,3.815762,4.5170,3.819198,4.6414
15,60,20,3.815762,4.5541,3.815762,9.2182
15,60,30,3.815762,4.5762,3.815762,14.2517
15,60,40,3.815762,4.5265,3.815762,18.5267
15,60,50,3.815762,4.5630,3.815762,23.6538
15,60,60,3.815762,4.5922,3.815762,28.3319
15,60,70,3.815762,4.5368,3.815762,33.2567
15,60,80,3.815762,4.6583,3.815762,37.5090
15,60,90,3.815762,4.5925,3.815762,42.3596
15,70,10,3.815762,5.3532,3.819198,4.6285
15,70,20,3.815762,5.3436,3.815762,9.3192
15,70,30,3.815762,5.4010,3.815762,14.1956
15,70,40,3.815762,5.3187,3.815762,18.3440
15,70,50,3.815762,5.2648,3.815762,23.4421
15,70,60,3.815762,5.3394,3.815762,27.7876
15,70,70,3.815762,5.3464,3.815762,33.1936
15,70,80,3.815762,5.3091,3.815762,37.7328
15,70,90,3.815762,5.2904,3.815762,41.7475
15,80,10,3.815762,6.1101,3.819198,4.8424
15,80,20,3.815762,6.1082,3.819198,9.3277
15,80,30,3.815762,6.2830,3.819198,21.6667
15,80,40,3.815762,9.4071,3.815762,23.8695
15,80,50,3.815762,6.6726,3.815762,30.8677
15,80,60,3.815762,8.5855,3.815762,39.5789
15,80,70,3.815762,8.1657,3.815762,41.9890
15,80,80,3.815762,6.1137,3.815762,37.7054
15,80,90,3.815762,6.1208,3.815762,42.9001
15,90,10,3.815762,7.1622,3.819198,4.7548
15,90,20,3.815762,6.8890,3.819198,9.3958
15,90,30,3.815762,7.0279,3.819198,14.3148
15,90,40,3.815762,8.0611,3.819198,30.3334
15,90,50,3.815762,8.8048,3.815762,28.8511
15,90,60,3.815762,10.7203,3.819198,66.1741
15,90,70,3.815762,15.5136,3.815762,75.6864
15,90,80,3.815762,15.8161,3.815762,86.4365
15,90,90,3.815762,15.8767,3.815762,93.6020
20,10,10,4.079724,2.0154,4.104464,15.0966
20,10,20,4.079724,1.8005,4.100234,29.3123
20,10,30,4.079724,1.9404,4.100234,48.4490
20,10,40,4.079724,1.7600,4.083954,65.9591
20,10,50,4.079724,2.0630,4.083954,75.5053
20,10,60,4.079724,2.0258,4.079724,93.7295
20,10,70,4.079724,1.8520,4.079724,114.6451
20,10,80,4.079724,1.4346,4.079724,122.8938
20,10,90,4.079724,1.9154,4.079724,130.9693
20,20,10,4.079724,3.3576,4.100234,13.3877
20,20,20,4.079724,3.3068,4.083954,30.2810
20,20,30,4.079724,3.9715,4.083954,45.1821
20,20,40,4.079724,2.5224,4.083954,51.0981
20,20,50,4.079724,3.2515,4.083954,63.4544
20,20,60,4.079724,1.8335,4.083954,52.2397
20,20,70,4.079724,2.8267,4.079724,82.0425
20,20,80,4.079724,2.0619,4.083954,54.3066
